MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Label
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,high
1.3578,40.0,4.524096385542169,,409.0,2.463855421686747,37.85,-122.27,mid-low
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,mid-low
3.3929,,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,low
,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,37.81,-122.28,mid
2.4912,29.0,3.7248,,2304.0,1.8432,37.81,-122.25,mid-high
5.956,41.0,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,high
6.3624,30.0,5.615384615384615,0.7307692307692307,126.0,2.423076923076923,37.81,-122.18,high
2.1944,52.0,5.074285714285714,0.96,360.0,2.057142857142857,37.8,-122.24,mid-high
2.5238,49.0,4.192023633677991,1.106351550960118,1487.0,2.1964549483013296,37.8,-122.24,mid
3.0257,52.0,4.046948356807512,1.0093896713615023,994.0,4.666666666666667,37.78,-122.23,low
3.0682,39.0,4.316810344827586,1.0775862068965518,1109.0,2.3900862068965516,37.8,-122.21,mid-low
2.7352,46.0,3.9349736379613356,0.8927943760984183,1390.0,2.4428822495606326,37.78,-122.21,mid-low
3.5398,52.0,5.4373522458628845,1.0472813238770686,1225.0,2.895981087470449,37.78,-122.2,mid
6.2838,34.0,6.948717948717949,1.0,442.0,2.2666666666666666,37.8,-122.18,high
1.9479,50.0,4.82520325203252,1.0609756097560976,907.0,3.686991869918699,37.76,-122.18,low
0.8012,28.0,,1.1666666666666667,435.0,2.685185185185185,37.75,-122.19,low
1.325,46.0,4.825641025641025,1.117948717948718,621.0,3.1846153846153844,37.75,-122.18,low
,26.0,6.127579737335835,0.9212007504690432,1222.0,2.292682926829268,37.76,-122.13,mid-high
4.0417,43.0,5.2,1.0169491525423728,826.0,2.8,37.74,-122.16,mid-low
4.2614,52.0,5.520958083832335,0.9940119760479041,769.0,2.302395209580838,37.88,-122.28,mid-high
6.6828,52.0,7.353174603174603,1.0535714285714286,1205.0,2.390873015873016,,-122.26,high
2.9,46.0,4.6394366197183095,1.0591549295774647,854.0,2.4056338028169013,37.88,-122.3,mid-low
1.4012,52.0,3.105714285714286,1.06,3337.0,9.534285714285714,37.87,-122.26,mid
2.2845,41.0,3.897887323943662,0.9683098591549296,1213.0,2.13556338028169,37.86,-122.28,mid-low
1.5817,52.0,5.43801652892562,1.1735537190082646,875.0,2.4104683195592287,37.85,-122.27,mid-low
5.2128,52.0,5.862934362934363,0.9961389961389961,1242.0,2.3976833976833976,,-122.23,high
2.9688,52.0,4.230547550432276,,870.0,2.5072046109510087,37.77,-122.28,mid-high
2.6833,52.0,4.139013452914798,1.0560538116591929,827.0,,37.76,-122.24,mid-high
4.9801,36.0,6.327472527472527,1.054945054945055,1235.0,2.7142857142857144,37.71,-122.07,mid-high
3.0,32.0,4.899135446685879,1.0605187319884726,1487.0,2.142651296829971,37.7,-122.07,mid-high
2.8301,49.0,4.412987012987013,1.0597402597402596,768.0,1.9948051948051948,37.73,-122.16,mid
2.8125,,4.333679833679834,1.0883575883575884,2024.0,,37.72,-122.15,mid
3.5547,,5.609195402298851,0.9348659003831418,672.0,2.574712643678161,37.7,-122.15,mid
4.2841,30.0,5.903394255874674,1.156657963446475,929.0,2.425587467362924,37.68,-122.15,mid-high
6.5,20.0,6.451612903225806,0.8064516129032258,83.0,2.6774193548387095,37.69,-122.03,high
2.535,37.0,4.723214285714286,1.1227678571428572,1109.0,2.4754464285714284,37.68,-122.1,mid
3.8676,40.0,,1.003154574132492,914.0,2.8832807570977916,37.67,-122.13,mid
3.016,31.0,4.45945945945946,,2181.0,2.9472972972972973,37.65,-122.07,mid
3.8171,18.0,5.119732785200411,1.0436793422404933,5613.0,,37.63,-122.1,mid
2.4808,27.0,4.017316017316017,1.0432900432900434,2028.0,2.9264069264069263,37.63,-122.07,mid
4.5913,24.0,5.141280353200883,1.0264900662251655,1401.0,3.0927152317880795,37.63,-122.07,mid
5.3226,18.0,5.567741935483871,0.8903225806451613,1186.0,3.825806451612903,37.6,-122.06,mid-high
5.7192,15.0,6.395348837209302,1.0679785330948122,1777.0,3.178890876565295,37.58,-121.96,high
5.0,18.0,5.66941297631308,1.035015447991761,2641.0,2.7198764160659112,37.56,-121.99,mid-high
4.75,35.0,5.513317191283293,1.0169491525423728,1353.0,3.276029055690073,37.53,-121.97,mid
5.2396,26.0,5.737057220708447,1.0095367847411445,2352.0,3.204359673024523,37.52,-121.96,mid-high
3.535,31.0,5.254237288135593,,719.0,3.0466101694915255,37.54,-122.02,mid-high
5.9345,,7.287625418060201,1.0301003344481605,926.0,3.096989966555184,37.69,,mid-high
4.9879,28.0,6.517985611510792,1.0575539568345325,853.0,3.068345323741007,,-121.87,mid-high
3.3841,29.0,4.842031029619182,1.002820874471086,1919.0,2.706629055007052,37.69,-121.76,mid
3.8523,25.0,5.5,1.1807909604519775,900.0,2.542372881355932,37.66,-121.78,mid
2.8125,28.0,5.7277936962750715,1.0959885386819483,1614.0,2.312320916905444,,-120.87,mid-low
1.6785,12.0,4.485285101164929,1.011036174126303,7517.0,2.304414469650521,39.74,-121.88,mid-low
1.6797,52.0,4.396103896103896,0.987012987012987,379.0,2.461038961038961,,-121.84,low
2.7143,16.0,6.385300668151448,1.244988864142539,1203.0,2.6792873051224944,39.88,-121.75,low
2.3068,24.0,5.622710622710622,1.010989010989011,664.0,2.432234432234432,39.77,-121.59,low
2.3798,17.0,4.784883720930233,0.9593023255813954,750.0,2.1802325581395348,39.74,-121.59,low
2.9688,,5.526881720430108,0.9946236559139785,471.0,2.532258064516129,39.52,-121.53,low
2.4952,14.0,5.708609271523179,1.0430463576158941,939.0,3.109271523178808,,-121.54,low
1.91,,5.0,1.0041322314049588,523.0,,39.36,-121.7,low
3.8488,7.0,6.446636771300448,1.1551569506726458,3175.0,2.8475336322869955,38.12,-120.76,mid-low
3.125,11.0,,11.181818181818182,82.0,2.484848484848485,38.42,-120.19,low
5.0016,3.0,7.246069182389937,1.1965408805031446,,2.8128930817610063,38.0,-121.73,mid
2.2532,46.0,5.085011185682327,1.1073825503355705,1088.0,2.4340044742729305,38.01,-121.8,mid-low
2.905,37.0,5.044444444444444,1.0722222222222222,1400.0,2.5925925925925926,38.0,-121.81,low
1.2024,36.0,5.749034749034749,1.277992277992278,838.0,3.2355212355212357,38.04,-121.9,low
2.1417,12.0,4.390029325513196,1.0557184750733137,943.0,2.7653958944281527,,-121.9,mid-low
3.3661,31.0,5.58648111332008,1.0298210735586482,1640.0,,38.05,-121.98,low
5.2015,6.0,5.69647847959754,1.0519843487982112,4377.0,2.446618222470654,38.0,-122.09,mid
4.7386,36.0,5.981081081081081,1.0432432432432432,950.0,2.5675675675675675,37.95,-122.06,mid
2.8043,16.0,5.158227848101266,0.989451476793249,721.0,1.521097046413502,37.99,-122.06,low
2.8456,,4.869918699186992,1.0867208672086721,756.0,2.048780487804878,37.98,-122.02,mid
5.1333,22.0,5.955696202531645,1.0738396624472575,1271.0,2.681434599156118,37.97,-121.99,mid
3.8456,35.0,5.461346633416459,0.9576059850374065,1154.0,2.8778054862842892,37.96,-122.05,mid
5.6292,24.0,6.454954954954955,0.9831081081081081,,2.7522522522522523,37.94,-122.04,mid-high
6.195,26.0,6.324817518248175,0.9671532846715328,796.0,2.9051094890510947,37.92,-122.08,mid-high
6.112,29.0,6.692477876106195,1.0553097345132743,1035.0,2.2898230088495577,37.86,-122.03,high
6.3942,4.0,5.681271810779372,1.0957735556417216,5613.0,2.1764249709189607,37.78,-121.95,high
8.4352,14.0,8.106100795755967,0.9787798408488063,1209.0,3.206896551724138,37.87,-122.02,high
4.125,30.0,,1.0716374269005848,1260.0,1.8421052631578947,37.89,-122.12,mid-high
7.203,19.0,7.205056179775281,1.0407303370786516,1887.0,2.6502808988764044,37.83,-122.11,high
5.2699,8.0,7.386811023622047,1.0718503937007875,3325.0,3.2726377952755907,37.98,-121.84,mid
6.2296,26.0,7.216666666666667,0.9666666666666667,533.0,2.9611111111111112,,-121.94,high
4.025,16.0,4.90748031496063,1.063976377952756,2805.0,2.7608267716535435,38.0,-122.29,mid
6.0666,10.0,6.526518391787853,0.9730538922155688,7266.0,3.1077844311377247,37.97,-122.27,mid-high
3.911,4.0,4.508455467869222,1.2164599774520857,1591.0,1.7936865839909808,37.99,-122.33,mid-low
2.3382,19.0,4.05989110707804,1.0526315789473684,1438.0,2.6098003629764066,37.97,-122.34,mid-low
3.1571,43.0,4.976127320954907,1.0318302387267904,807.0,2.140583554376658,37.94,-122.33,mid-low
1.5139,38.0,3.727272727272727,0.8671328671328671,729.0,2.5489510489510487,37.95,-122.36,low
1.125,,4.4409090909090905,1.165909090909091,1437.0,3.265909090909091,37.91,-122.33,low
6.0677,32.0,6.421824104234528,0.9853420195439739,1524.0,2.482084690553746,37.92,-122.3,high
5.1691,38.0,6.854497354497354,1.1216931216931216,905.0,2.394179894179894,37.91,-122.29,mid-high
2.1336,19.0,5.893992932862191,1.1448763250883391,841.0,2.9717314487632507,41.92,-124.16,low
1.9018,25.0,6.114155251141552,1.4977168949771689,503.0,2.2968036529680367,38.94,-119.98,mid-low
1.9727,21.0,5.366883116883117,1.3603896103896105,737.0,2.392857142857143,38.9,-120.0,mid-low
2.8562,12.0,5.7824933687002655,1.1220159151193634,1070.0,2.8381962864721486,38.83,-120.87,mid-low
3.9036,11.0,6.155263157894737,1.1473684210526316,1062.0,2.794736842105263,38.66,,mid
2.1682,35.0,5.26,1.0075,1060.0,2.65,38.76,-120.67,mid-low
4.0827,8.0,5.484751203852327,0.9695024077046549,1703.0,2.7335473515248796,38.58,-120.88,mid
2.5045,15.0,4.103932584269663,1.1657303370786516,924.0,2.595505617977528,36.74,-119.78,low
1.3304,28.0,5.6453900709219855,1.0780141843971631,962.0,3.4113475177304964,36.7,-119.8,low
4.9196,27.0,6.184782608695652,0.9065217391304348,1219.0,2.65,36.73,-119.67,mid-low
2.9013,19.0,6.090909090909091,1.1076555023923444,1257.0,3.007177033492823,36.65,-119.74,low
1.8971,41.0,5.261333333333333,1.064,1107.0,2.952,36.76,,low
1.6548,35.0,4.879417879417879,1.0935550935550935,1676.0,3.4844074844074844,36.75,-119.76,low
3.1719,39.0,5.759075907590759,1.0594059405940595,901.0,2.9735973597359737,36.75,-119.73,low
2.6726,32.0,5.005102040816326,1.0178571428571428,1005.0,2.563775510204082,36.77,-119.75,low
3.4265,43.0,6.242666666666667,1.0533333333333332,890.0,2.3733333333333335,36.77,-119.81,low
4.1719,17.0,6.348242811501597,1.0702875399361023,1152.0,3.680511182108626,36.76,-119.89,mid-low
6.7181,15.0,7.199438202247191,0.9410112359550562,1080.0,3.033707865168539,36.83,-119.85,mid
6.1175,16.0,7.567282321899736,0.9920844327176781,1016.0,2.6807387862796834,,-119.82,mid-low
4.049,19.0,6.121731289449955,1.0820559062218214,2325.0,2.096483318304779,36.83,-119.81,mid-low
1.3385,24.0,4.19404915912031,1.0284605433376455,2764.0,3.575679172056921,36.78,-119.84,low
2.256,26.0,4.404145077720207,,,2.354922279792746,36.79,,low
3.567,28.0,6.074468085106383,1.070921985815603,663.0,2.351063829787234,36.81,-119.77,low
2.7159,32.0,5.33130081300813,1.0731707317073171,1570.0,3.1910569105691056,36.81,-119.7,low
4.9432,4.0,6.341708542713568,1.085427135678392,622.0,3.1256281407035176,36.81,-119.67,mid-low
3.0833,42.0,6.027027027027027,0.9684684684684685,617.0,2.779279279279279,36.7,-119.63,mid-low
2.59,21.0,5.840764331210191,1.0222929936305734,1120.0,,36.71,-119.52,low
2.2202,13.0,5.494140625,1.130859375,1385.0,2.705078125,36.71,-119.25,low
2.5234,37.0,4.101167315175097,0.9299610894941635,879.0,3.4202334630350193,36.58,,low
2.5556,42.0,5.3004587155963305,1.0068807339449541,1347.0,3.0894495412844036,36.57,-119.6,low
3.2083,26.0,6.667953667953668,1.1158301158301158,802.0,3.0965250965250966,36.44,-119.77,low
,11.0,4.20440251572327,1.2955974842767295,1376.0,4.327044025157233,36.29,,low
1.9056,25.0,3.6958424507658645,1.0831509846827134,1745.0,3.8183807439824946,36.75,-120.38,low
1.9375,16.0,5.303664921465969,,1031.0,2.6989528795811517,39.75,-122.23,low
1.7778,52.0,4.450704225352113,0.9753521126760564,591.0,2.0809859154929575,40.79,-124.16,low
2.5,32.0,4.4869281045751634,1.0196078431372548,872.0,2.849673202614379,40.8,-124.14,low
3.9792,22.0,5.855203619909502,0.9841628959276018,1198.0,2.7104072398190047,,-124.02,mid-low
1.4911,19.0,5.495412844036697,1.1743119266055047,1033.0,3.159021406727829,41.11,-123.63,low
2.8182,12.0,5.404761904761905,1.0627705627705628,1153.0,2.4956709956709955,40.92,-124.09,mid-low
3.4408,32.0,5.3201133144475925,0.9631728045325779,937.0,2.6543909348441925,40.59,-124.05,low
1.725,31.0,5.158774373259053,1.2590529247910864,917.0,2.554317548746518,40.24,-123.68,low
1.9088,20.0,4.422712933753943,0.9053627760252366,1104.0,3.4826498422712935,32.99,-115.51,low
1.7604,32.0,4.384615384615385,1.1301775147928994,623.0,3.6863905325443787,32.81,-115.37,low
2.2417,18.0,5.15015015015015,,1166.0,3.5015015015015014,32.77,-115.52,low
,29.0,6.4,1.1551020408163266,848.0,3.4612244897959186,32.78,-115.56,low
2.0625,6.0,4.720538720538721,0.9781144781144782,2807.0,4.725589225589226,32.67,-115.52,low
1.275,19.0,,1.3486842105263157,1431.0,2.3536184210526314,32.8,-114.55,low
1.1471,,6.44131455399061,1.812206572769953,436.0,2.0469483568075115,36.0,-116.22,low
1.3222,31.0,3.8428805237315875,1.1472995090016367,1413.0,2.3126022913256956,35.41,-119.02,low
3.1906,34.0,6.016181229773463,1.0453074433656957,854.0,2.763754045307443,35.4,-118.97,low
3.0938,6.0,4.979679144385027,1.0385026737967915,2320.0,,35.41,-118.9,low
1.375,35.0,4.0508474576271185,1.0314769975786926,1041.0,2.5205811138014527,35.38,-118.97,low
1.4779,44.0,4.900826446280992,1.1239669421487604,364.0,3.0082644628099175,35.37,-119.01,low
1.7213,44.0,4.894353369763206,1.1293260473588342,1521.0,2.7704918032786887,35.37,-119.02,low
1.9612,32.0,4.343220338983051,1.097457627118644,874.0,3.7033898305084745,35.37,-118.96,low
3.1753,27.0,5.134228187919463,1.0033557046979866,2212.0,2.4742729306487696,35.35,-119.04,low
3.4286,34.0,5.886831275720165,1.0493827160493827,1375.0,,35.34,-119.02,low
,10.0,4.791907514450867,0.8439306358381503,447.0,2.5838150289017343,35.3,-119.03,low
3.0742,23.0,6.2025931928687195,1.1280388978930307,1993.0,3.2301458670988654,35.27,-119.5,low
,36.0,5.032128514056225,1.0401606425702812,932.0,3.7429718875502007,35.5,,mid-low
,30.0,6.504424778761062,1.2123893805309736,421.0,3.725663716814159,35.76,-119.14,mid-low
6.1563,13.0,6.3392070484581495,1.0440528634361232,557.0,2.4537444933920707,35.44,-118.93,mid
4.0167,5.0,4.875,1.1896551724137931,520.0,2.2413793103448274,35.65,-117.69,low
5.0762,11.0,5.91554054054054,1.0675675675675675,765.0,2.5844594594594597,35.54,-117.84,low
5.0553,2.0,,1.150887573964497,923.0,2.730769230769231,34.87,-118.19,mid-low
1.9236,29.0,5.126482213438735,1.0355731225296443,909.0,3.5928853754940713,35.13,-118.92,low
3.1667,14.0,4.784386617100372,1.0817843866171004,737.0,2.7397769516728623,36.31,-119.78,mid-low
2.8788,38.0,5.86219739292365,1.0577281191806331,1378.0,2.5661080074487894,36.35,-119.65,low
4.0909,16.0,5.278350515463917,0.961340206185567,1052.0,2.711340206185567,36.33,-119.66,low
1.85,14.0,4.541218637992832,1.039426523297491,1077.0,3.860215053763441,36.09,-119.56,low
2.0208,43.0,3.2962962962962963,,86.0,3.185185185185185,39.18,-122.91,low
2.0417,24.0,6.979910714285714,,1015.0,2.265625,39.08,,low
2.3179,14.0,6.138297872340425,1.4184397163120568,638.0,2.2624113475177303,38.94,-122.62,low
1.6833,15.0,5.351851851851852,0.9074074074074074,191.0,3.537037037037037,38.99,-122.83,mid-low
3.4375,22.0,6.0,1.2394366197183098,461.0,3.2464788732394365,38.81,-122.66,low
3.5536,19.0,5.742599742599743,1.0656370656370657,2229.0,2.8687258687258685,40.36,-120.71,low
4.4485,35.0,6.414110429447852,1.1042944785276074,879.0,2.696319018404908,34.25,-118.27,mid-high
4.6944,30.0,6.030018761726079,0.9624765478424016,1700.0,3.189493433395872,34.28,-118.35,mid-high
3.2865,35.0,4.0492610837438425,0.9852216748768473,1197.0,5.896551724137931,34.28,-118.42,mid-low
1.4867,35.0,3.976435935198822,1.0338733431516938,3444.0,5.072164948453608,34.27,-118.42,mid-low
4.0556,9.0,5.38390092879257,1.108359133126935,820.0,2.538699690402477,34.31,-118.45,mid
7.7464,28.0,7.282051282051282,1.0256410256410255,868.0,2.782051282051282,34.29,-118.52,high
4.8015,30.0,5.549295774647887,0.9929577464788732,1004.0,3.535211267605634,34.27,-118.46,mid
5.5714,34.0,6.2445582586427655,1.0435339308578746,2521.0,3.2279129321382842,34.27,-118.49,mid-high
3.5497,25.0,4.801946193474528,1.0715512306811676,4483.0,2.566113337149399,34.26,-118.49,mid-high
3.6231,15.0,4.366741573033708,1.0728089887640448,4992.0,2.2435955056179777,34.25,-118.59,mid
3.2404,27.0,4.035984848484849,1.0284090909090908,1065.0,2.0170454545454546,34.23,-118.53,mid-high
4.5167,26.0,5.2593856655290105,0.9778156996587031,1590.0,2.7133105802047783,34.23,-118.5,high
3.9833,21.0,4.311871227364185,,1803.0,3.6277665995975856,34.25,-118.45,mid
3.325,39.0,,1.0955414012738853,913.0,,34.22,-118.44,mid
3.6591,36.0,5.2077393075356415,1.0997963340122199,1556.0,3.169042769857434,34.22,-118.4,mid
4.1857,34.0,5.288732394366197,1.0369718309859155,1938.0,3.4119718309859155,34.22,-118.42,mid
4.1445,11.0,,1.0316265060240963,1512.0,2.2771084337349397,34.19,-118.36,mid
2.2377,27.0,3.3765822784810124,1.0232067510548524,3403.0,3.589662447257384,34.2,-118.42,mid-high
3.3516,26.0,4.327296248382924,1.0582147477360933,1599.0,,34.17,-118.39,mid-high
2.3056,31.0,3.320359281437126,1.0598802395209581,1119.0,3.3502994011976046,34.18,-118.36,mid
3.1929,26.0,4.311871227364185,1.080482897384306,2806.0,1.8819584171696848,34.17,-118.39,mid-high
4.3542,42.0,5.370629370629371,1.0303030303030303,862.0,2.0093240093240095,34.16,-118.36,high
2.6957,23.0,3.667953667953668,1.111969111969112,2249.0,2.8944658944658945,34.2,-118.48,mid
2.2326,36.0,3.933712121212121,0.9393939393939394,1206.0,2.284090909090909,34.18,-118.44,mid-high
4.0474,34.0,5.508403361344538,0.9810924369747899,1233.0,2.5903361344537816,34.16,-118.43,high
4.7,36.0,6.0201005025125625,1.0577889447236182,1064.0,2.6733668341708543,34.21,-118.51,mid-high
,42.0,,0.9640718562874252,884.0,2.6467065868263475,34.2,-118.5,mid
4.175,,5.398601398601398,1.0769230769230769,891.0,3.1153846153846154,34.2,-118.56,mid
5.0462,34.0,6.370491803278688,1.0491803278688525,895.0,2.9344262295081966,34.21,-118.59,mid-high
2.6159,19.0,3.292091836734694,1.093112244897959,2004.0,2.556122448979592,34.21,-118.6,mid
4.3125,34.0,5.535433070866142,1.0,369.0,2.905511811023622,34.19,-118.61,mid-high
6.7977,33.0,7.1945205479452055,1.0410958904109588,2041.0,2.7958904109589042,34.18,-118.63,high
4.8036,37.0,5.842592592592593,1.126543209876543,911.0,2.8117283950617282,34.18,-118.51,high
6.4958,37.0,6.872164948453608,1.0061855670103093,1171.0,2.4144329896907215,34.16,-118.49,high
3.6171,22.0,4.072840790842872,1.060353798126951,3303.0,1.718522372528616,34.16,-118.45,high
3.1373,23.0,3.752241238793806,1.0749796251018744,,1.9486552567237163,34.15,-118.37,mid-high
3.7986,21.0,4.26873857404022,1.0612431444241317,1914.0,1.7495429616087752,34.14,-118.37,high
3.6058,46.0,5.234649122807017,1.0701754385964912,1181.0,,,-118.19,mid-high
3.7813,30.0,4.656551724137931,0.993103448275862,1990.0,2.7448275862068967,34.12,-118.17,mid-high
2.6591,33.0,5.110738255033557,1.3120805369127517,,2.5268456375838926,34.11,-118.18,mid
2.8194,45.0,4.411522633744856,1.131687242798354,996.0,4.098765432098766,34.09,-118.22,mid
2.7679,50.0,5.025821596244131,1.0586854460093897,1777.0,4.171361502347418,34.11,-118.24,mid
12.8763,50.0,7.074183976261128,0.9258160237388724,836.0,2.4807121661721068,34.12,-118.28,high
3.2462,33.0,3.9744582043343653,1.1222910216718267,2404.0,1.8606811145510835,34.11,-118.32,high
1.5429,24.0,2.9702380952380953,1.1770833333333333,1215.0,1.8080357142857142,34.1,-118.34,high
2.0341,32.0,3.0432432432432432,1.0324324324324323,626.0,3.383783783783784,34.09,-118.32,mid-high
2.0132,35.0,2.6031746031746033,1.1071428571428572,3548.0,3.5198412698412698,34.09,-118.29,mid
2.8021,47.0,3.7656903765690375,1.1422594142259415,921.0,1.9267782426778242,34.09,-118.35,mid-high
,23.0,2.1724941724941726,1.092074592074592,2795.0,3.257575757575758,34.08,-118.29,mid-high
2.8942,31.0,3.914368650217707,1.0246734397677795,1059.0,1.537010159651669,34.09,-118.37,high
3.7847,52.0,4.739307535641548,1.1303462321792261,1048.0,2.134419551934827,34.09,-118.27,mid-high
,39.0,3.8655256723716382,1.0953545232273838,1934.0,2.3643031784841075,34.08,-118.28,mid-high
2.4038,46.0,3.6126543209876543,1.0848765432098766,2371.0,3.6589506172839505,34.07,-118.26,mid
2.6806,52.0,4.806282722513089,1.057591623036649,3062.0,4.007853403141361,34.08,-118.21,mid-low
4.975,10.0,4.70873786407767,1.0800970873786409,763.0,1.8519417475728155,34.1,-118.18,mid
3.875,37.0,4.79253112033195,0.9336099585062241,814.0,3.3775933609958506,34.07,-118.17,mid-low
1.9271,28.0,2.753623188405797,1.0347826086956522,1485.0,4.304347826086956,34.05,-118.21,mid-low
1.0333,18.0,3.6513761467889907,1.0412844036697249,547.0,2.5091743119266057,34.04,-118.2,mid-low
2.3472,52.0,3.812807881773399,1.0295566502463054,813.0,4.004926108374384,,-118.2,mid-low
,6.0,3.2325581395348837,1.1966173361522199,1051.0,2.221987315010571,34.04,-118.26,mid
1.1642,14.0,2.342070773263434,,2251.0,2.9501965923984272,34.06,-118.28,high
1.7038,13.0,2.6158357771260996,1.0703812316715542,2158.0,3.164222873900293,34.04,-118.27,mid-low
2.6218,49.0,4.2912457912457915,1.0606060606060606,1539.0,2.590909090909091,34.08,-118.31,high
1.9309,23.0,2.926829268292683,1.1162123385939742,2235.0,3.206599713055954,34.06,-118.29,mid-high
3.1406,40.0,4.341145833333333,0.9505208333333334,1161.0,3.0234375,34.05,-118.31,high
4.1618,52.0,6.065602836879433,1.0602836879432624,,2.132978723404255,34.07,-118.34,high
3.5573,21.0,4.104494382022472,1.0741573033707865,1510.0,1.696629213483146,34.07,-118.38,high
3.0862,35.0,4.6978967495219885,1.0554493307839388,1159.0,2.216061185468451,34.05,-118.37,high
3.0956,35.0,4.485969387755102,1.121173469387755,1632.0,2.0816326530612246,34.05,-118.38,high
1.8685,36.0,3.5824175824175826,1.1007326007326008,1672.0,3.062271062271062,34.04,-118.35,mid-low
2.0259,42.0,4.8119891008174385,1.1008174386920981,1117.0,3.043596730245232,34.04,-118.32,mid
1.8316,40.0,3.7833876221498373,1.0765472312703583,1847.0,3.00814332247557,34.03,-118.36,mid-low
1.2786,39.0,2.1400862068965516,1.0905172413793103,1765.0,3.8038793103448274,34.05,-118.3,mid-low
1.0219,29.0,2.921681780708986,1.1409727947238253,3323.0,2.7394888705688376,34.03,-118.29,mid-high
1.5781,31.0,4.569739952718676,1.1300236406619386,1522.0,3.5981087470449173,34.02,-118.3,mid-low
2.1905,52.0,,1.1358695652173914,1655.0,4.497282608695652,34.03,-118.25,mid-low
1.2857,36.0,3.7245762711864407,1.1101694915254237,1034.0,4.38135593220339,34.01,-118.25,low
1.6382,36.0,4.027397260273973,1.0582191780821917,1267.0,,34.0,-118.25,low
1.4886,35.0,3.3049645390070923,1.0425531914893618,1153.0,4.088652482269503,33.99,-118.27,low
1.6875,52.0,4.5390625,1.0963541666666667,,3.140625,34.0,-118.3,mid-low
1.1806,40.0,4.917391304347826,1.2217391304347827,859.0,3.734782608695652,34.0,-118.3,mid-low
1.7159,49.0,4.491735537190083,0.993801652892562,1861.0,3.8450413223140494,33.99,-118.28,low
1.9779,49.0,4.971731448763251,0.950530035335689,889.0,3.1413427561837457,33.99,-118.32,mid-low
2.2396,44.0,4.670967741935484,1.0129032258064516,861.0,2.7774193548387096,33.98,-118.32,low
3.25,28.0,5.528673835125448,1.1129032258064515,1162.0,2.082437275985663,34.0,-118.35,high
1.6611,48.0,4.975247524752476,1.1014851485148516,1208.0,,33.98,-118.3,low
3.725,52.0,5.65625,0.9618055555555556,819.0,2.84375,33.97,-118.31,mid-low
3.9722,47.0,5.739130434782608,1.1331521739130435,1161.0,3.154891304347826,33.96,-118.3,mid-low
1.6027,38.0,3.6452905811623246,0.9959919839679359,2110.0,4.228456913827655,33.97,-118.28,low
